id,category,brand,model,title,description,price,discount,stock,rating,review_count,color,warranty,features,tags
1,اسپیکر,جی‌بی‌ال,Mi Portable (2024),جی‌بی‌ال Mi Portable (2024) - خاکستری,محصول جی‌بی‌ال مدل Mi Portable (2024) با ویژگی‌های صدای ۳۶۰ درجه | اتصال چندگانه | بیس قوی. بهترین انتخاب در دسته اسپیکر.,12455000,0,20,3.6,2523,خاکستری,۲۴ ماه گارانتی,صدای ۳۶۰ درجه | اتصال چندگانه | بیس قوی | وزن سبک,بلندگو، سفر، پارتی، اسپیکر
2,دسته بازی,مایکروسافت,Pro 2 Max,مایکروسافت Pro 2 Max - قرمز,محصول مایکروسافت مدل Pro 2 Max با ویژگی‌های سازگار با PC | اتصال بی‌سیم | دکمه‌های پشتی. بهترین انتخاب در دسته دسته بازی.,1480000,25,10,3.6,3361,قرمز,۲۴ ماه گارانتی,سازگار با PC | اتصال بی‌سیم | دکمه‌های پشتی | نور RGB,PS5، گیمینگ، بی‌سیم، دسته بازی
3,چای‌ساز,بوش,TWK7203 (2024),بوش TWK7203 (2024) - قرمز,محصول بوش مدل TWK7203 (2024) با ویژگی‌های ظرفیت ۲ لیتر | فیلتر قابل شستشو | دمای قابل تنظیم. بهترین انتخاب در دسته چای‌ساز.,1465000,0,150,4.1,871,قرمز,۱۸ ماه گارانتی,ظرفیت ۲ لیتر | فیلتر قابل شستشو | دمای قابل تنظیم | حفظ گرما,کتری برقی، چای‌ساز، خانگی، آشپزخانه
4,تلویزیون,ایکس‌ویژن,Bravia X90L Pro,ایکس‌ویژن Bravia X90L Pro - مشکی,ایکس‌ویژن Bravia X90L Pro - Wi-Fi داخلی | Google TV | اسمارت TV. مناسب برای کاربران تلویزیون.,78585000,30,5,3.7,2097,مشکی,۲۴ ماه گارانتی,Wi-Fi داخلی | Google TV | اسمارت TV | سیستم صدا Dolby Atmos,تلویزیون، اسمارت، TV، OLED
5,پرینتر,Brother,Xpress M2070W SE,Brother Xpress M2070W SE - خاکستری,محصول Brother مدل Xpress M2070W SE با ویژگی‌های اتصال Wi-Fi | چاپ رنگی | سرعت ۲۸ صفحه در دقیقه. بهترین انتخاب در دسته پرینتر.,24600000,10,200,4.0,2757,خاکستری,۱۸ ماه گارانتی,اتصال Wi-Fi | چاپ رنگی | سرعت ۲۸ صفحه در دقیقه | اسکنر تخت,اداری، پرینتر، چاپ، خانگی
6,لوازم خودرو,بوش,دزدگیر هوشمند Plus,بوش دزدگیر هوشمند Plus - مشکی,محصول بوش مدل دزدگیر هوشمند Plus با ویژگی‌های اتصال BT | دوربین ۴K | شتاب G-Sensor. بهترین انتخاب در دسته لوازم خودرو.,7155000,0,150,4.6,2312,مشکی,۳۶ ماه گارانتی,اتصال BT | دوربین ۴K | شتاب G-Sensor | Wi-Fi داخلی,دوربین، لوازم ماشین، ایمنی، خودرو
7,جاروبرقی,سامسونگ,Jet 90 Plus,سامسونگ Jet 90 Plus - آبی,سامسونگ Jet 90 Plus - بدون کیسه | فیلتر HEPA | باتری ۶۰ دقیقه. مناسب برای کاربران جاروبرقی.,13800000,0,50,4.7,1052,آبی,۶ ماه گارانتی,بدون کیسه | فیلتر HEPA | باتری ۶۰ دقیقه | موتور دیجیتال ۷۵۰۰۰ rpm,نظافت، جاروبرقی، بدون کیسه، لوازم خانگی
8,جاروبرقی,فیلیپس,IR200 (2024),فیلیپس IR200 (2024) - قرمز,محصول فیلیپس مدل IR200 (2024) با ویژگی‌های قدرت مکش ۲۳۰ Air Watt | بدون کیسه | موتور دیجیتال ۷۵۰۰۰ rpm. بهترین انتخاب در دسته جاروبرقی.,4980000,15,200,3.7,2335,قرمز,۳۶ ماه گارانتی,قدرت مکش ۲۳۰ Air Watt | بدون کیسه | موتور دیجیتال ۷۵۰۰۰ rpm | باتری ۶۰ دقیقه,لوازم خانگی، شارژی، بدون کیسه، نظافت
9,سرخ‌کن,مولینکس,DL-745 Lite,مولینکس DL-745 Lite - مشکی,DL-745 Lite از برند معتبر مولینکس. سبد قابل شستشو در ماشین | کم‌مصرف ۱۴۰۰ وات | فناوری Rapid Air. کیفیت تضمینی.,2385000,0,0,3.9,487,مشکی,۶ ماه گارانتی,سبد قابل شستشو در ماشین | کم‌مصرف ۱۴۰۰ وات | فناوری Rapid Air | تایمر دیجیتال,سرخ‌کن، آشپزخانه، بدون روغن، سالم
10,کنسول بازی,نینتندو,Nintendo Switch OLED (نسخه جدید),نینتندو Nintendo Switch OLED (نسخه جدید) - قرمز,نینتندو Nintendo Switch OLED (نسخه جدید) - رزولوشن 4K | کنترلر DualSense | پشتیبانی از VR. مناسب برای کاربران کنسول بازی.,15230000,10,100,4.6,399,قرمز,بدون گارانتی,رزولوشن 4K | کنترلر DualSense | پشتیبانی از VR | نرخ فریم ۱۲۰fps,بازی، PlayStation، Nintendo، گیمینگ
